OBJECTID,Shape_Length,Shape_Area,Site,Time
1,0.471722822,0.01389955,M1,1
2,0.473616176,0.01401888,M1,1
3,0.478777679,0.01432429,M1,1
4,0.473791824,0.01402821,M1,1
5,0.484078509,0.0146445,M1,2
6,0.482475328,0.01454839,M1,2
7,0.488195621,0.014894085,M1,2
8,0.483685247,0.01462086,M1,2
9,0.485170285,0.014709435,M1,2
11,0.48302239,0.01454236,M1,3
12,0.488830112,0.01493376,M1,3
13,0.485717784,0.014743605,M1,3
14,0.481473398,0.014488035,M1,3
15,0.483803738,0.01462814,M1,3
16,0.484450379,0.01466752,M1,3
17,0.482876684,0.01457265,M1,3
19,0.484455688,0.014668295,M1,3
20,0.478278606,0.01428642,M1,3
21,0.482012969,0.01451982,M2,1
22,0.470545744,0.01381728,M2,1
23,0.481994044,0.014518125,M2,1
24,0.485051857,0.0147039,M2,1
25,0.479758869,0.01437788,M2,2
26,0.481099029,0.014460705,M2,2
27,0.47208629,0.01390699,M2,2
28,0.459226058,0.01311285,M2,2
30,0.483011101,0.01458096,M2,3
31,0.488734862,0.0149274,M2,3
32,0.488321783,0.014902155,M2,3
33,0.487400991,0.014847265,M2,3
34,0.484336385,0.01465973,M2,3
35,0.48198447,0.01451863,M2,3
36,0.481857179,0.01450846,M2,3
37,0.484747204,0.01468155,M2,3
39,0.483804492,0.01462908,M2,3
40,0.47998957,0.01439796,TY3,1
42,0.471632272,0.013896625,TY3,1
43,0.481314019,0.014477195,TY3,1
44,0.480453111,0.014384315,TY3,1
45,0.489582933,0.014980225,TY3,2
47,0.487961816,0.0148777,TY3,2
48,0.486926867,0.014818155,TY3,2
49,0.490250204,0.015018705,TY3,2
50,0.487195604,0.0148332,TY3,3
51,0.48843742,0.014907405,TY3,3
52,0.48915698,0.014953315,TY3,3
53,0.48312665,0.01458534,TY3,3
54,0.488194385,0.014893285,TY3,3
